match_date,match_result,season
"Thursday, 25 February",U Mumba beat Bengaluru Bulls (39-18),3
"Thursday, 25 February",Patna Pirates beat Dabang Delhi (67-34),3
"Friday, 26 February",Puneri Paltan beat Telugu Titans (41-24),3
"Friday, 26 February",Match Tied,3
"Saturday, 27 February",Puneri Paltan beat Bengaluru Bulls (44-27),3
"Saturday, 27 February",Bengal Warriors beat Dabang Delhi (37-31),3
"Sunday, 28 February",U Mumba beat Jaipur Pink Panthers (35-21),3
"Sunday, 28 February",Telugu Titans beat Patna Pirates (42-41),3
"Monday, 29 February",U Mumba beat Puneri Paltan (30-27),3
"Tuesday, 01 March",Bengal Warriors beat Bengaluru Bulls (26-22),3
"Tuesday, 01 March",U Mumba beat Telugu Titans (38-22),3
"Wednesday, 02 March",Puneri Paltan beat Bengal Warriors (43-19),3
"Wednesday, 02 March",U Mumba beat Dabang Delhi (36-20),3
"Friday, 04 March",Patna Pirates beat Puneri Paltan (40-21),3
"Friday, 04 March",U Mumba beat Bengal Warriors (41-29),3
"Saturday, 05 March",Puneri Paltan beat Bengal Warriors (31-27),3
"Saturday, 05 March",Patna Pirates beat U Mumba (31-28),3
"Saturday, 25 June",Puneri Paltan beat Telugu Titans (28-24),4
"Saturday, 25 June",U Mumba beat Jaipur Pink Panthers (36-34),4
"Sunday, 26 June",Bengaluru Bulls beat Bengal Warriors (24-23),4
"Sunday, 26 June",Puneri Paltan beat U Mumba (41-19),4
"Monday, 27 June",Bengal Warriors beat Dabang Delhi K.C. (31-23),4
"Monday, 27 June",Patna Pirates beat Puneri Paltan (30-24),4
"Tuesday, 28 June",Match Tied,4
"Wednesday, 29 June",Jaipur Pink Panthers beat Telugu Titans (28-24),4
"Wednesday, 29 June",Patna Pirates beat U Mumba (36-34),4
"Thursday, 30 June",Match Tied,4
"Friday, 01 July",U Mumba beat Dabang Delhi K.C. (27-25),4
"Friday, 01 July",Jaipur Pink Panthers beat Bengal Warriors (36-33),4
"Saturday, 02 July",Dabang Delhi K.C. beat Bengaluru Bulls (32-24),4
"Saturday, 02 July",Puneri Paltan beat Jaipur Pink Panthers (33-28),4
"Sunday, 03 July",Patna Pirates beat Telugu Titans (35-33),4
"Sunday, 03 July",U Mumba beat Bengal Warriors (26-18),4
"Monday, 04 July",Bengaluru Bulls beat Puneri Paltan (29-27),4
"Monday, 04 July",Telugu Titans beat Bengal Warriors (35-18),4
"Tuesday, 05 July",Bengaluru Bulls beat Telugu Titans (30-28),4
"Wednesday, 06 July",Jaipur Pink Panthers beat Dabang Delhi K.C. (51-26),4
"Wednesday, 06 July",Telugu Titans beat U Mumba (35-30),4
"Thursday, 07 July",Patna Pirates beat Bengaluru Bulls (31-25),4
"Friday, 08 July",U Mumba beat Bengaluru Bulls (24-23),4
"Friday, 08 July",Patna Pirates beat Bengal Warriors (35-21),4
"Saturday, 09 July",Puneri Paltan beat Bengal Warriors (38-31),4
"Saturday, 09 July",Dabang Delhi K.C. beat Patna Pirates (33-15),4
"Sunday, 10 July",Telugu Titans beat Dabang Delhi K.C. (28-23),4
"Sunday, 10 July",Jaipur Pink Panthers beat Patna Pirates (26-21),4
"Tuesday, 12 July",Telugu Titans beat Bengaluru Bulls (32-24),4
"Tuesday, 12 July",Match Tied,4
"Wednesday, 13 July",Jaipur Pink Panthers beat Bengaluru Bulls (24-22),4
"Thursday, 14 July",U Mumba beat Jaipur Pink Panthers (29-23),4
"Thursday, 14 July",Patna Pirates beat Bengaluru Bulls (38-23),4
"Friday, 15 July",Telugu Titans beat Puneri Paltan (32-29),4
"Friday, 15 July",Dabang Delhi K.C. beat Bengaluru Bulls (40-20),4
"Saturday, 16 July",Bengal Warriors beat Jaipur Pink Panthers (32-25),4
"Saturday, 16 July",Patna Pirates beat U Mumba (34-24),4
"Sunday, 17 July",Jaipur Pink Panthers beat Puneri Paltan (33-27),4
"Sunday, 17 July",Patna Pirates beat Bengal Warriors (33-27),4
"Monday, 18 July",Match Tied,4
"Tuesday, 19 July",Telugu Titans beat Dabang Delhi K.C. (36-28),4
"Tuesday, 19 July",Bengaluru Bulls beat Bengal Warriors (27-25),4
"Wednesday, 20 July",U Mumba beat Puneri Paltan (34-31),4
"Thursday, 21 July",Jaipur Pink Panthers beat Dabang Delhi K.C. (24-22),4
"Thursday, 21 July",Match Tied,4
"Friday, 22 July",Jaipur Pink Panthers beat Patna Pirates (29-22),4
"Friday, 22 July",Bengal Warriors beat U Mumba (31-27),4
"Saturday, 23 July",Patna Pirates beat Puneri Paltan (31-28),4
"Saturday, 23 July",Bengaluru Bulls beat U Mumba (28-27),4
"Sunday, 24 July",Dabang Delhi K.C. beat Bengal Warriors (41-20),4
"Sunday, 24 July",Telugu Titans beat Jaipur Pink Panthers (35-23),4
"Monday, 25 July",Patna Pirates beat Dabang Delhi K.C. (32-31),4
"Tuesday, 26 July",Telugu Titans beat Patna Pirates (46-25),4
"Tuesday, 26 July",Puneri Paltan beat Dabang Delhi K.C. (39-34),4
"Wednesday, 27 July",Puneri Paltan beat Bengaluru Bulls (36-33),4
"Wednesday, 27 July",U Mumba beat Dabang Delhi K.C. (38-34),4
"Friday, 29 July",Patna Pirates beat Puneri Paltan (37-33),4
"Friday, 29 July",Jaipur Pink Panthers beat Telugu Titans (34-24),4
"Sunday, 31 July",Puneri Paltan beat Telugu Titans (40-35),4
"Sunday, 31 July",Patna Pirates beat Jaipur Pink Panthers (37-29),4
"Friday, 28 July",Puneri Paltan beat U Mumba (33-21),5
"Saturday, 29 July",Dabang Delhi K.C. beat Jaipur Pink Panthers (30-26),5
"Saturday, 29 July",Patna Pirates beat Telugu Titans (35-29),5
"Sunday, 30 July",U Mumba beat Haryana Steelers (29-28),5
"Sunday, 30 July",Bengaluru Bulls beat Telugu Titans (31-21),5
"Tuesday, 01 August",Gujarat Fortunegiants beat Dabang Delhi K.C. (26-20),5
