match_date,Season,win,score,team_name
"Friday, 12 October",6,0,25,Gujarat Fortunegiants
"Friday, 12 October",6,0,37,Puneri Paltan
"Saturday, 13 October",6,0,29,U.P. Yoddha
"Saturday, 13 October",6,0,26,Haryana Steelers
"Sunday, 14 October",6,0,37,U.P. Yoddha
"Sunday, 14 October",6,0,27,Haryana Steelers
"Tuesday, 16 October",6,0,25,Telugu Titans
"Tuesday, 16 October",6,0,33,Haryana Steelers
"Wednesday, 17 October",6,0,35,Tamil Thalaivas
"Wednesday, 17 October",6,0,32,Haryana Steelers
"Thursday, 18 October",6,0,31,Dabang Delhi K.C.
"Thursday, 18 October",6,0,28,Puneri Paltan
"Friday, 19 October",6,0,31,Patna Pirates
"Friday, 19 October",6,0,25,Jaipur Pink Panthers
"Saturday, 20 October",6,0,32,U Mumba
"Sunday, 21 October",6,0,30,Bengal Warriors
"Sunday, 21 October",6,0,25,Bengaluru Bulls
"Tuesday, 23 October",6,0,20,Telugu Titans
"Tuesday, 23 October",6,0,31,Puneri Paltan
"Wednesday, 24 October",6,0,34,Haryana Steelers
"Wednesday, 24 October",6,0,23,Puneri Paltan
"Friday, 26 October",6,0,30,Jaipur Pink Panthers
"Friday, 26 October",6,0,25,Tamil Thalaivas
"Saturday, 27 October",6,0,28,Jaipur Pink Panthers
"Saturday, 27 October",6,0,39,Patna Pirates
"Sunday, 28 October",6,0,36,Dabang Delhi K.C.
"Sunday, 28 October",6,0,32,Patna Pirates
"Tuesday, 30 October",6,0,27,Puneri Paltan
"Tuesday, 30 October",6,0,32,Patna Pirates
"Wednesday, 31 October",6,0,27,Dabang Delhi K.C.
"Wednesday, 31 October",6,0,41,Patna Pirates
"Thursday, 01 November",6,0,27,Bengal Warriors
"Friday, 02 November",6,0,24,U.P. Yoddha
"Friday, 02 November",6,0,25,Jaipur Pink Panthers
"Saturday, 03 November",6,0,22,Puneri Paltan
"Saturday, 03 November",6,0,29,U.P. Yoddha
"Sunday, 04 November",6,0,38,Dabang Delhi K.C.
"Tuesday, 06 November",6,0,32,Haryana Steelers
"Thursday, 08 November",6,0,33,Haryana Steelers
"Thursday, 08 November",6,0,27,U.P. Yoddha
"Friday, 09 November",6,0,24,Jaipur Pink Panthers
"Friday, 09 November",6,0,25,Telugu Titans
"Saturday, 10 November",6,0,30,Bengal Warriors
"Saturday, 10 November",6,0,36,U Mumba
"Sunday, 11 November",6,0,29,Jaipur Pink Panthers
"Sunday, 11 November",6,0,31,U Mumba
"Tuesday, 13 November",6,0,25,Puneri Paltan
"Tuesday, 13 November",6,0,24,U.P. Yoddha
"Wednesday, 14 November",6,0,29,Bengaluru Bulls
"Thursday, 15 November",6,0,35,Dabang Delhi K.C.
"Thursday, 15 November",6,0,22,Tamil Thalaivas
"Friday, 16 November",6,0,23,Bengal Warriors
"Friday, 16 November",6,0,28,U.P. Yoddha
"Saturday, 17 November",6,0,22,Puneri Paltan
"Sunday, 18 November",6,0,32,Jaipur Pink Panthers
"Sunday, 18 November",6,0,32,U.P. Yoddha
"Tuesday, 20 November",6,0,23,Telugu Titans
"Tuesday, 20 November",6,0,26,Gujarat Fortunegiants
"Wednesday, 21 November",6,0,27,Tamil Thalaivas
"Wednesday, 21 November",6,0,35,U Mumba
"Thursday, 22 November",6,0,31,Haryana Steelers
"Friday, 23 November",6,0,31,Bengaluru Bulls
"Saturday, 24 November",6,0,23,Dabang Delhi K.C.
"Saturday, 24 November",6,0,22,Tamil Thalaivas
"Sunday, 25 November",6,0,27,Dabang Delhi K.C.
"Sunday, 25 November",6,0,32,Bengaluru Bulls
"Monday, 26 November",6,0,25,Telugu Titans
"Monday, 26 November",6,0,27,U.P. Yoddha
"Wednesday, 28 November",6,0,33,Haryana Steelers
"Wednesday, 28 November",6,0,26,Telugu Titans
"Thursday, 29 November",6,0,20,Puneri Paltan
"Thursday, 29 November",6,0,37,Bengaluru Bulls
"Friday, 30 November",6,0,35,Jaipur Pink Panthers
"Saturday, 01 December",6,0,34,Dabang Delhi K.C.
